否皮肉,:1.0000100135803223,皮肉,:1.0000003385357559e-05,__label__皮肉, ええ……かわいい……かわいいけどなぜこのタイミングでクイズ大会……監督もいるし
否皮肉,:1.0000089406967163,皮肉,:1.1072879715356976e-05,__label__皮肉, やっすいお菓子食べながら億単位のお金動くの見て、週末親が少しのお金わあい！当たった！ってしとるの見て人生色々やと考えるわ🤪🤪🤪🤪馬はかわいいのー💖
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, マリアって名前の自然災害が人を襲うってクッソ皮肉効いてて好き。
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, ナナライ行った時、キャストさん達ほんとにキラキラしてて元気もらったしすごいなって思ったけど、その一方でこんだけ歪んだ人間もいるんだもんなあ～～いや～可哀想…人生損してるよねえ…（皮肉）
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, グッズ“だけ”はガンガン出してたのにね（皮肉）
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 役所でおっさんが警備員に「お前は税金から給料もらってるんだろ」ってからんでたけど、こういう人がいるから税金使ってでも人雇わなきゃいけなくなってるの、皮肉以外のなにものでもないよね
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 「ご冥福をお祈り致します」とは「まぁせいぜい地獄で幸せになるんだな」というのが本来の意味で、つまりは皮肉寄りの言葉らしいです。正しくは「○○さんのご逝去を悼み、謹んで哀悼の意を表します」や「お悔やみ申し上げます」などがよいらしいです。って、いつか公式したものを貼付けてみる。
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 近頃の奴らは信用ならん。任せたらこれだ。なぁ！？まあいい、自分でやるさ。世の中、皮肉だ。
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 内職を始めて２週間目に、会社から電話があり「次回配達分から別の仕事をやってもらいます。」とのことでした。この頃から内職仲間のうちの数人から、「割に合わない。」や「１回ランチを我慢したほうがましだね。」などの皮肉が出始めました。
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 日本国は、お年寄りを大切にし過ぎたみたいだ。圧倒的な信頼は、お国に向ける老人たち💚と言うのは、かなりの皮肉で💧見よ❗️不幸な老人たちは、何も持たないまま。お国に従うと言う。最後まで看取るべきだ。彼女は、孫も息子も亭…
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 水が上から大量に降ってきたせいで水の入手に苦労するってのも皮肉な話ですね。
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 女「ねえ、私の作った料理どうだった？」男「愛してるよ」女「料理の味を聞いてるのよ。食べたんでしょう？」男「食べたさ。それでも君を愛してるよ」
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 不動産の担当の人がこの垢見てたら面白いのになぁ、と思ってしまう（笑）
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 「何が目的で筋トレしてるの？」にはストレス解消、体力向上、筋肉を愛してるから、闘争心の維持、趣味、本能、アンチエイジング、太りづらい身体、セクシーな身体、健康管理、美容、モテ、楽しいから、筋肉を愛してるから等無限の回答があるので逆に問いたい。「なぜ君は筋トレをしてないのか？」と。
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 「戦争に巻き込まれれば自衛隊の命が～」と繰り返すのは、どの口？頭の悪い民間人なら、政府の人間なら、殺してもいいと。その程度の人格者(笑)の『争いは辞めよう、無益だ、平和万歳！』なんてメッセージ、薄っぺらくて説得力皆無…
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 色々あるだろうが、野球には坊主や丸刈りまではいかなくても、短髪が合ってる競技だとは思う。ということは、やる以前の見た目から入ろうとする人が野球を敬遠しているんだろう。良く言えばスマート、皮肉を込めるならカッコつけって言われる人たちよ。
否皮肉,:0.9999998807907104,皮肉,:2.013278572121635e-05,__label__皮肉, 三島さんもほんとはもっと皮肉っぽく書けるけど自制してた感が見受けられるからなあ…エラいわ(三島父とかあからさまに皮肉屋さん笑それはそれでおもろい。まあ、一般人やしな)
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, オーウェン:夏休み中、万引き犯を捕まえた学校で流行っているのか、「死んで詫びます」と言うガキが3組ほどいたらしいそのたびにジョーカーさんは「そういうのは生きてる価値のあるやつが言うことでしょ？」「君の死が、なんで詫びになるの？」皮肉がキツすぎませんか、ジョーカーさん
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, まぁスポンサーも日テレもこんなおいしい番組やめないでしょうね。ここ数年裏番組のeテレのバリパラが皮肉たっぷりの黄色いtシャツを着て面白い番組してますね。彼らこそ私も含め障害者の本…
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, くそアウェイでクソクソのクソ演者は気持ちよさそうに歌ってて何より😊😊皮肉😊
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, お仕事いってきます。連休中は大雨で、今は晴天という皮肉(^^
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 近所「いや～お父さん名理事だね！なんでもできるし！」ぼく「ハハハ…家でもそうあればいいのですが（乾いた笑い）（皮肉＆本心）（今日はいつ帰るんだ…）（帰ってこなくてよいのだが）」
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, いやーほんと「あべりょう」とかいう頭悪いアーティストを賞賛するくらいならぜひとも"Thechainsmokers"の"SICKBOY"を聞いてほしい。この曲こそが最大限の皮肉を込めながらもバックのインストも申し分ないまさに「風刺芸術」なんだよね。
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, あんなにも世間を騒がせた後の空がこんなにも綺麗だなんて皮肉が過ぎる。
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 何でも揃ってる大都会＆何でもしてくれる家族に育まれればそうなるんですかね。私にはさっぱり分からない理屈。皮肉じゃなく。自分の存在にみじんも疑念がないというのは羨ましくもある。
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, バカも限度越えると…ある意味、幸せ者だよなぁ…自覚ないバカにバカ言ってもダメ…その典型的な手本が居たわ…(皮肉)
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 断水してるんやなぁ。雨はいっぱい降ったのに断水ってどんな皮肉やねんな！この前と大阪の例やったら水のタンクとかも買い占め起こるし、もしこっちで出用意出来ることあったら言うてな！友達とか知り合いの分も含めて。届く…
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 安全なとこにいらっしゃるなら良かったです…！雨は降るのに水がない！この状況皮肉すぎて歯がゆく思いながら頑張って身の安全確保したいと思います…とりあえず生きてますアピールしときますね👍
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 時間を見て、猫人形の部屋の室温管理。どの部屋より快適にとは皮肉なものだ…。
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, そうだな。皮肉というには幼稚だが、これで満足できるなら喜んでいいね押してればいいさ（笑）
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 「いかれ帽子屋」のルーツってご存知かしら？当時の帽子を作る工程には水銀を用いる事が多くて水銀中毒になってしまう人が多かったの。それによる痙攣を「帽子屋の震え」などと言ったほどなの。皮肉な話よね。
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, miniの去年？くらいのX-girlのネイルセット、色は可愛いけど一瞬でほんまに1日で剥がれるめちゃくちゃ綺麗にペリ…て剥がれる。剥がす快感を得るためのものかと思うくらい剥がれる(皮肉だよ)
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, いつも行ってる銀行のお姉さんが、綺麗なのよね。派手さはないけど、柔和な儚げ美人さん。そしてほのかにエロい。え？何でこうも差があるのかね！同じ女なのに！！
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 唐突に相手がかけてきての折り返しとか以外で自分の携帯から電話して相手が出た試しがない
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, この島国全土に蔓延る問題の比較対象を挙げないと何が悪いのかも分からないから例として他国の事情を挙げる度に「ポリコレ棒ガー」とか言い出したら、実質「それが悪いと思う方が悪い。何も言うな目をつぶれ」って言ってるようなもんでしょ。自浄作用なんかある訳がない
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 寂しくない夜は久々だったなぁおかげで熟睡したわ🙌
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 現場の陣頭指揮だとかっててんやわんやの状態の原発に乗り込んで余計混乱させた上に事態を悪化させた首相知ってるんで、しっかり対応しろって指示だけ出していけばいいとおもいまーす。外交は首相しか出来ない事がありますが、災害対応は優秀な人…
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 戦後最大規模の死刑執行、世界に衝撃　非人道的と批判も（朝日新聞デジタル）-Yahoo!ニュースいやでもさ、ヨーロッパて死刑はないかもだけどその代わり問答無用で射殺してると思うんだけどねえ…
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 東日本大震災の時もそうでしたが古着処分じゃないから送られても困るのですけどね(苦笑)自分が困ったときに欲しいかどうか、考えてもらえたらよいのですけどね(-_-)
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, ロン「（カンボジアは）良い所じゃないか～。湿度は高いし！あちこちヒルだらけだし！」　（s1e4モンキー・フィスト）
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, お義母さんがくるってさー。お金もらってくるんじゃないかな？あそこの家は共依存？お金に関しては私は絶対出してやらない🔪子供にかかるんだからあんたにかける金はゼロ💸
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 1ヶ月に一回程度、従兄弟のリアルネームのツイッターアカウント検索して、自撮りを眺めて「めっちゃぶす・・・」と、歪んだ愛情と暗い喜びを感じている。そこはかとないぶさいく。毎年お年玉あげてるけど、センスない服に使われてて草。お姉ちゃん応援しとるよ！
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, （´(ｪ)｀）国会審議止める必要はないよね・・・全員でTVでも見るの？
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, じゃけえ大して考えん。臨機応変、その時々よ。おまえらみとォな凡人にゃあ俺はアホに見えるんじゃろうが、それでも負けたことがないんでの。そしてこれからも、俺は負けん。もう一度言っちゃろう
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, まじ男の二重なんなん腹立つわあ、、、皮肉なんですけどハイ、、、、羨ましいんですけど、、、
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 相変わらずモラルを欠いたマスコミの鑑ですね。あ、難しいかもしれないですけど勿論皮肉ですよ？
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 個人的には、現代はPCやスマフォっていう、肉体と魂の関係をモデルに作られたのであろうものが大分普及してるのに、どうして肉体と魂の関係に対する理解がそれほど進まないのだろうかなと思いますね。いやまあ、唯物論盲信に対する皮肉です。(・ω・　)
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 出自に異様なまでにこだわって、出自で人間を差別する法律を作った人間が、自分の出自だけは絶対に知られまいとしてひた隠しにしたのは、ある意味皮肉ではある
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, なるほどｗスキーブーツもいいお値段しますもんね。_(:4」∠)_
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, みんな美人が好きみたいだけど、女は顔じゃないんだよ。１、髪のケアをしてる２、大声で笑わない３、ガリガリじゃない４、いつも気配りできる５、ノリがいい６、小さな子供にも優しい以上6点がイイ女の条件。条件多くて覚えづらいので「か　お　が　い　の　ち」って覚えるといいよ
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 雨降るよりいいけど、腹立つくらいのいい天気ですよね〜😞
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 自分の治めてる地域こため働くのすごいっす。どうせなら困っている所の泥出しに行くとかカッコいいんじゃないかと思うなぁ。皮肉じゃなくお忍びで自分の休み使って。都知事と言う立場上たいへんかと思いますけれど。小池都知事「池の水抜く…
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 彼が愛する音楽が彼を連れ去ってしまうなんて皮肉よな…
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 相変わらずモラルを欠いたマスコミの鑑ですね。あ、難しいかもしれないですけど勿論皮肉ですよ？
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, これまでのエア皮肉意に介さない辺りは本気ですげぇよ恵那氏さん
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 女の子はお絵描きがお上手だねっていう皮肉
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, miniの去年？くらいのX-girlのネイルセット、色は可愛いけど一瞬でほんまに1日で剥がれるめちゃくちゃ綺麗にペリ…て剥がれる。剥がす快感を得るためのものかと思うくらい剥がれる(皮肉だよ)
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 彼の中で無かったことにされているクウガ時代がベストという皮肉今ではもうやつれたアルパカ
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 2月3日は遠坂凛の誕生日だ、誕生花は【タネツケバナ】だな。意味は『勝利、父の失策、燃える思い』という意味を持つ。父の失策とは皮肉な花言葉もあるものだな#shinpuhanabot
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 最近クライマーの紐回帰もその辺のリスクを嫌ったものなんでしょうかね...σ(^_^もしくは無線だと回避できるのも皮肉な感じッスねww
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, それと皮肉にもこれだけ任期中に記録的な災害が起こる総理も珍しい。縁起が悪い。厄病神かもね。良いことは何があった？？
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 今回対策本部が遅いといういちゃもん多いが、野党がそれ以上にアホ揃いなんで結局支持率が現状維持という皮肉
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 皮肉だが危険視してないのが日本だけだね。岳さんが言うように他に購入決定してる国無いもの。
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, トドメを刺しにくるような台風の名前がマリアとかどんな皮肉
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, どうして普通のヒトがオウムに入ってしまったという気持ちの悪い問いかけは、あのヒトは純粋だから狂ってしまったという話にそれ以上の想像力が出来ないということだよね。はいはい。あなたは正しく美しく立派な人生で何の間違いもない人間です（皮肉）
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, そしてこの報道自体がRBの広告として機能するという皮肉。
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 物語の根底を変えてしまうような改変をしてくるのが戸田奈津子訳だから拙いと言うのは戸田奈津子に失礼だぞ(皮肉)
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 夏といえば24時間TV。あれが終わる時には"サライ"って決まっているんだ。俺が大嫌いな曲でね。マスコミの（皮肉っぽく）慈愛溢れるチャリティーって名目だから聴いてやっているだけなんだよ。「俺たちはこんなに思いやりがあるんだァ～」って曲だよね（笑）24時間電気使いまくってるくせに！
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 自分自身よ、自分自身が人でありながら、人のことを嫌いであるのは、確かに皮肉なことだろう。だが、本当に嫌いだから仕方ない。だが、自分自身よ、自分自身もまた、立場を変えれば、人に対して暴力を振るい、人を差別して、人の痛みを楽しみたいのでは？とはどう言うのみか？
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 世界の皮肉よ。オトナになんなさい！作者不明（西洋の諺）怠け者の舌だけは怠け者ではない
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 界隈の癌のくせによく帰ってこれたね～すごいでちゅね～流石に賛辞を送りたい(皮肉)
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, レスしていただいて恐れ入ります。サムライジャパンとかいう実力二の次・商売最優先の団体と取り巻き連中への皮肉ですのでスルーしていただいて結構です。（一番うまいのはゴミ拾いかもしれません…）
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, サンダーボルトファンタジーは主題の「人形劇」ってところで皮肉にも損しちゃってるのがな…　人形劇もシナリオも曲も最高なんだけど
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 運営「側」の「側」に入ってるつもりで書きましたよ。あくまで「運営の側」ぐらいの発言権かなという皮肉はありでかきましたが。
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, ちなみに、史実のジャンヌ・ダルクはイギリスとフランスの和議を壊した人物です。杉田水脈への皮肉ですよ。
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 世界の皮肉よ。オトナになんなさい！ラ・ブリュイエール人間にとってただ３つの事件しかない。生まれること、生きること、死ぬことである。生まれるときは気づかない。死ぬときは苦しむ。そして生きるときは忘れている
否皮肉,:0.9999734163284302,皮肉,:4.659722981159575e-05,__label__皮肉, 実際私も、あれだけ"高難度ジャンプの争いだ！このジャンプ合戦の世を作ったのは羽生だ！"みたいに散々言われてきた人が結局基礎的低い2種のジャンプで完成度とPCSで圧勝したのって皮肉なものよね（どんなもんだい）、とは思ったよ(^-^)
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 確かにむずかしいよね、そこ僕もちゃんと言えるようになりたいなって思ってます。なんか頭のキレそうな発言がそこそこ聞こえてたので、未だに賢い人やなって思ってますよww
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, ゆみねえお休みなのね！私暇なのに仕事☺️おかしい。笑なにもないよね！ゆみねえのとこ大丈夫、、？結構被害あるよね、、？
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, こんな大人不足な人たちの会社でも前みたいに死ねとかブスとかデブとかそんなことは言われないだけましかなとも思う
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 大雨洪水にうたれて死ねばいいのに(^^)
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 3人の厄介オタクが集まったので、すごく厄介でした(日本語がおかしい)
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 私毎日靴下左右違うの履いてて、職場の人はもう慣れてきたんですけど、たまに「靴下左右違うじゃん！」って言われると「え？何かおかしいですか？」ってなる。私がおかしいのにすまんな。
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, えぐちひとりだけ頭身おかしい。なぎぴ。
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, まあこのスタメンで快勝しないほうがおかしいわね
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, あなたは親御さんが大好きで、親御さんにとってもご自慢の娘さんだったのだろうとお察しします。私もそうでした。高校の時に、あなたとは事情が違いますが、親が“自分の思い通り”にならなくなった私にキレて同じ家の…
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 世の中には頭おかしいやつがたくさんいることを、再認識した
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 本垢やこの垢や別垢監視しないでくれ…。普通に気持ち悪いから……おっさんの尻舐めて俺の悪口いいながら売春して俺の誕生日祝うとか気持ち悪すぎて監視されるのすら吐き気する。
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 暑くなってくると頭のおかしいのがいっぱい出てくるからなぁ
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 頭が痛すぎるヤバいので一言「頭が頭痛で痛い」←この日本語おかしいよねおらの頭もおかしいかw
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 応援来なかったやつみたいな扱いされてるのなんかムカつくな｡だってお前ら､俺等ん時来んかったやん｡成績が良かったら正義なんか。居らん奴の事なら好き勝手言ってええと思っとんけ
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 衣更：「人を指さしてはいけない」と北斗に言われたスバルが「じゃあなんでこれは人差し指って言うの！？詐欺じゃん！！！」と言いだして喧嘩始めたからちょっと収めてくる
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 上司さまんちやべーな、親戚４にんくらい１週間でなくなってる、ほんとこの１週間おかしいって
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 繋がりタグとかに無課金勢とかつけてる人こ口癖課金してる人が偉いって訳じゃありません！お金=愛とか考え方おかしい！学生はお金稼げない人だっているのに課金してるってだけでマウントとるな！
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 上から下まで探したんですけど、私もないですね、おかしいな🤔
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, ゆにばーす・はら、ターゲットの男性別に詐欺メイクで七変化:悪徳不動産屋情報局#不動産#詐欺
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, そのジジババは振り込め詐欺に引っかかり金をむしり取られる！
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, 「…は………は、…はやと！」「何？さくら？」「〜〜ッ！何でそうさらっと言えちゃうの？いつもいつも余裕綽々って感じでムカつく…。」「ハハ、そう見えるんなら良かったよ。」「…どういうこと？」「さあね。一生考えてれば？」
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, だって、「国民に主権があるのはおかしい」なんて、とんでもない大暴言･大妄言吐いた輩でっせ。このくうらいまるで驚きませんわ（嘲笑）
否皮肉,:0.9995347261428833,皮肉,:0.0004852873971685767,__label__皮肉, リンクスに復帰しようかなって頭をかすめる時も無いことは無いけどデッキの強制公開と反吐がでるクソ運営と丸藤翔が存在する限りはやっぱりいいやってなる。